cds,schoolname,districtname,countyname,charter_flag,math_status,english_status,combined_status,status_level,ReportingYear
36677026112114,Carleton P. Lightfoot Elementary,Etiwanda Elementary,San Bernardino,,36.2,60.9,97.1,5,2018
09619786103527,Marina Village Middle,Rescue Union Elementary,El Dorado,,44.6,52.4,97.0,5,2018
49707146051742,Gravenstein Elementary,Gravenstein Union Elementary,Sonoma,Y,35.5,61.5,97.0,5,2018
56737596115760,Lang Ranch,Conejo Valley Unified,Ventura,,38.7,58.3,97.0,5,2018
07617546004360,Walnut Acres Elementary,Mt. Diablo Unified,Contra Costa,,38.3,58.5,96.8,5,2018
07618046005136,Rancho Romero Elementary,San Ramon Valley Unified,Contra Costa,,50.1,46.7,96.8,5,2018
21653676024376,Neil Cummins Elementary,Larkspur-Corte Madera,Marin,,39.7,57.1,96.8,5,2018
30664646117634,Don Juan Avila Elementary,Capistrano Unified,Orange,,39.4,57.1,96.5,5,2018
37682966106520,Canyon View Elementary,Poway Unified,San Diego,,41.5,54.9,96.4,5,2018
33670336031835,Lincoln Alternative Elementary,Corona-Norco Unified,Riverside,,42.7,53.6,96.3,5,2018
36677026107569,Caryn Elementary,Etiwanda Elementary,San Bernardino,,37.8,58.5,96.3,5,2018
37683386099089,Vista Grande Elementary,San Diego Unified,San Diego,,49.1,46.9,96.0,5,2018
19650601939602,West High,Torrance Unified,Los Angeles,,25.6,70.2,95.8,5,2018
37682966109318,Morning Creek Elementary,Poway Unified,San Diego,,45.8,49.9,95.7,5,2018
30736436118772,Myford Elementary,Tustin Unified,Orange,,43.9,51.7,95.6,5,2018
19647336019525,Topanga Elementary Charter,Los Angeles Unified,Los Angeles,Y,41.9,53.5,95.4,5,2018
21653676024350,Hall Middle,Larkspur-Corte Madera,Marin,,38.4,57.0,95.4,5,2018
56725536120117,La Mariposa,Pleasant Valley,Ventura,,41.6,53.7,95.3,5,2018
19646836014815,White Oak Elementary,Las Virgenes Unified,Los Angeles,,39.3,55.6,94.9,5,2018
10621170113563,Bud Rank Elementary,Clovis Unified,Fresno,,37.0,57.6,94.6,5,2018
41690216044739,Brittan Acres Elementary,San Carlos Elementary,San Mateo,Y,46.6,47.8,94.4,5,2018
19734526022222,Blandford Elementary,Rowland Unified,Los Angeles,,44.9,49.4,94.3,5,2018
19650606023089,Bert M. Lynn Middle,Torrance Unified,Los Angeles,,44.7,49.5,94.2,5,2018
10621176113575,Cedarwood Elementary,Clovis Unified,Fresno,,38.5,55.6,94.1,5,2018
01611436090252,Jefferson Elementary,Berkeley Unified,Alameda,,45.3,48.7,94.0,5,2018
10621176110258,Garfield Elementary,Clovis Unified,Fresno,,45.4,48.6,94.0,5,2018
19651106023634,Daniel Phelan Elementary,Whittier City Elementary,Los Angeles,,44.9,49.0,93.9,5,2018
19647330125096,Academy for Enriched Sciences,Los Angeles Unified,Los Angeles,,40.7,53.0,93.7,5,2018
19757136011076,Monterey Highlands Elementary,Alhambra Unified,Los Angeles,,39.9,53.8,93.7,5,2018
37683386039978,McKinley Elementary,San Diego Unified,San Diego,,39.4,54.3,93.7,5,2018
43696906049258,Sunnyvale Middle,Sunnyvale,Santa Clara,,50.0,43.7,93.7,5,2018
